Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""4. Payment/Payment_Akulaku/Verify_Trx_Success""), ""Transaksi Sukses"")",Chrome 101.0.4951.54,,,2022-05-10 19:34:17,2022-05-10 19:34:18,0.325s,PASSED
closeBrowser(),Chrome 101.0.4951.54,,,2022-05-10 19:34:18,2022-05-10 19:34:18,0.667s,PASSED
,,,,,,,
Test Cases/SmallProject1_Version2/TC71_UserSelectMethod_OctoClicks_WithInputInvalidAccID,Chrome 101.0.4951.54,,,2022-05-10 19:34:18,2022-05-10 19:34:45,26.729s,PASSED
"callTestCase(findTestCase(""SmallProject1_Version2/TC32_UserSuccessCheckout""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:34:19,2022-05-10 19:34:30,11.082s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_eWallet/Title_Octo""))",Chrome 101.0.4951.54,,,2022-05-10 19:34:30,2022-05-10 19:34:30,0.408s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_eWallet/Logo_Octo""))",Chrome 101.0.4951.54,,,2022-05-10 19:34:30,2022-05-10 19:34:31,0.407s,PASSED
"click(findTestObject(""4. Payment/Payment_eWallet/Button_Octo""))",Chrome 101.0.4951.54,,,2022-05-10 19:34:31,2022-05-10 19:34:31,0.485s,PASSED
delay(1),Chrome 101.0.4951.54,,,2022-05-10 19:34:31,2022-05-10 19:34:32,1.014s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 19:34:32,2022-05-10 19:34:33,0.557s,PASSED
"verifyElementText(findTestObject(""4. Payment/a_Header_Details""), ""OCTO Clicks"")",Chrome 101.0.4951.54,,,2022-05-10 19:34:33,2022-05-10 19:34:33,0.420s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_ATMBankTransfer/Desc_AllBank""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:34:33,2022-05-10 19:34:33,0.403s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Down""))",Chrome 101.0.4951.54,,,2022-05-10 19:34:33,2022-05-10 19:34:34,0.455s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_AmountMidtransPillow""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:34:34,2022-05-10 19:34:34,0.407s,PASSED
"total1 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_PopUp""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:34:34,2022-05-10 19:34:35,0.410s,PASSED
"total2 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_Summary""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:34:35,2022-05-10 19:34:35,0.409s,PASSED
"verifyEqual(total1, total2, STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:34:35,2022-05-10 19:34:35,0.002s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Name_Summary""), Name)",Chrome 101.0.4951.54,,,2022-05-10 19:34:35,2022-05-10 19:34:36,0.406s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_Addess_Summary""), Address_2)",Chrome 101.0.4951.54,,,2022-05-10 19:34:36,2022-05-10 19:34:36,0.406s,PASSED
