Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/SmallProject1_Version2/TC68_UserSelectMethod_ShopeePay,Chrome 101.0.4951.54,,,2022-05-10 19:14:10,2022-05-10 19:14:35,24.780s,PASSED
"callTestCase(findTestCase(""SmallProject1_Version2/TC32_UserSuccessCheckout""), [:], STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:14:10,2022-05-10 19:14:21,11.298s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_eWallet/Title_ShopeePay""))",Chrome 101.0.4951.54,,,2022-05-10 19:14:21,2022-05-10 19:14:22,0.460s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_eWallet/Logo_ShopeePay""))",Chrome 101.0.4951.54,,,2022-05-10 19:14:22,2022-05-10 19:14:22,0.457s,PASSED
"click(findTestObject(""4. Payment/Payment_eWallet/Button_ShopeePay""))",Chrome 101.0.4951.54,,,2022-05-10 19:14:22,2022-05-10 19:14:23,0.509s,PASSED
delay(1),Chrome 101.0.4951.54,,,2022-05-10 19:14:23,2022-05-10 19:14:24,1.014s,PASSED
takeFullPageScreenshot(),Chrome 101.0.4951.54,,,2022-05-10 19:14:24,2022-05-10 19:14:24,0.544s,PASSED
"verifyElementText(findTestObject(""4. Payment/a_Header_Details""), ""ShopeePay"")",Chrome 101.0.4951.54,,,2022-05-10 19:14:24,2022-05-10 19:14:25,0.415s,PASSED
"verifyElementVisible(findTestObject(""4. Payment/Payment_eWallet/a_IMG_QR_eWallet""), STOP_ON_FAILURE)",Chrome 101.0.4951.54,,,2022-05-10 19:14:25,2022-05-10 19:14:25,0.408s,PASSED
"click(findTestObject(""5. PopUp Detail/Button_Float_Down""))",Chrome 101.0.4951.54,,,2022-05-10 19:14:25,2022-05-10 19:14:26,0.476s,PASSED
"verifyElementText(findTestObject(""5. PopUp Detail/Verify_AmountMidtransPillow""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:14:26,2022-05-10 19:14:26,0.429s,PASSED
"total1 = verifyElementText(findTestObject(""5. PopUp Detail/Verify_TotalAmount_PopUp""), ""Rp20.000"")",Chrome 101.0.4951.54,,,2022-05-10 19:14:26,2022-05-10 19:14:26,0.412s,PASSED
